### 机构
Runzhi Zhou 和 Xi Luo

### 标题
基于Transformer融合的图神经网络在预测未来烟草使用中的应用

### 来源
arXiv

### 文章简介
- **研究问题**：如何有效地将非欧几里得脑成像数据与欧几里得表格数据（如临床和人口统计信息）结合，以预测未来的烟草使用？
- **主要贡献**：提出了一种时间感知的图神经网络模型与Transformer融合（GNN-TF），该模型能够灵活地集成表格数据和动态脑连接数据，并利用这些变量的时间顺序，提供了一个全面的分析框架。

### 重点思路
- **模型结构**：GNN-TF模型通过滑动窗口策略计算动态功能连接，并使用Transformer结构将动态GNN特征与表格变量融合，形成一个序列分类框架。
- **数据处理**：使用NCANDA数据集中的静息态fMRI数据和关键生物变量（年龄和性别）进行实验，排除了基线时有吸烟行为的受试者。
- **性能评估**：通过五折交叉验证策略进行模型训练和评估，使用AUC和PRAUC作为性能指标，与多种现有模型进行了比较。

### 分析总结
- **模型优势**：GNN-TF模型在预测未来烟草使用方面表现优于现有的GC-LSTM等模型，特别是在AUC和PRAUC指标上。
- **节点特征和连接**：通过GNNExplainer工具分析发现，MNI空间位置是预测结果的最重要特征，视觉和默认模式系统也对预测性能有贡献。
- **局限性**：研究使用的NCANDA数据集样本量适中，适用于深度学习模型的训练，但在单中心fMRI研究中样本量较小时，可能会面临过拟合问题。此外，滑动窗口的时间跨度选择需要根据具体研究目标进行调整。

### 个人观点
论文提出的GNN-TF模型通过有效融合非欧几里得和欧几里得数据，提供了预测未来烟草使用的新方法。该模型不仅在技术上有所创新，而且在实际应用中具有较高的实用价值，为功能性脑成像研究提供了新的视角。
